id,X,Y,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
91,-73.969288397092797,40.776855370308198,14E-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,walking,False,False,False,False,False,False,False,False
92,-73.970854967078793,40.769958701905800,7H-PM-1006-04,PM,2018-10-06,Adult,Gray,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,False,False
93,-73.963974400564695,40.782511195076403,22F-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
94,-73.973027791142201,40.771214548882803,7F-AM-1008-16,AM,2018-10-08,Juvenile,Gray,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,False
95,-73.971054140570800,40.772469160571802,10F-PM-1019-05,PM,2018-10-19,Adult,Black,Above Ground,"Behind fence, tree",False,False,False,False,False,,False,False,False,False,False,False,False,False
96,-73.976159253248198,40.774721358538699,10A-AM-1006-04,AM,2018-10-06,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,False,False,False,False
97,-73.954400765868499,40.795068972313501,38F-PM-1013-05,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,False,"being chased,was pushed by other squirrel",False,False,False,False,False,False,False,False
98,-73.957598616136394,40.799368134967999,41B-PM-1014-01,PM,2018-10-14,Adult,Gray,Above Ground,Climbing tree,False,False,False,False,False,climbing (tree),False,False,False,False,False,False,False,False
99,-73.960770137044307,40.795541899085499,36A-PM-1013-07,PM,2018-10-13,,Gray,Ground Plane,"""FIELD""",False,False,False,False,False,chasing #8,False,False,False,False,False,False,False,False
100,-73.976403652298401,40.770584618512103,5C-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
101,-73.958924955523500,40.790819328498102,32E-PM-1017-03,PM,2018-10-17,Adult,Gray,Above Ground,bottom of tree,False,False,False,False,False,still,False,False,False,False,False,False,False,False
102,-73.963462341876095,40.791768540448203,31A-PM-1017-04,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
103,-73.952111015487205,40.797844914331300,42G-AM-1018-03,AM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,False
104,-73.957480902824798,40.795001362020699,37D-PM-1014-04,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,chasing (a chipmunk),False,False,False,False,False,False,False,False
105,-73.957043771769094,40.794850940803897,37E-PM-1006-03,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
106,-73.967097592707006,40.785411934253801,24B-AM-1013-01,AM,2018-10-13,,Gray,Above Ground,,False,False,False,False,False,took nut to bury,False,False,False,False,False,False,False,False
107,-73.971131879027894,40.770194155027298,7G-AM-1010-02,AM,2018-10-10,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
108,-73.976324338377097,40.770540931570302,5C-PM-1010-13,PM,2018-10-10,Adult,Gray,Above Ground,way up a tree!,False,False,False,False,False,,False,False,False,False,False,False,False,False
109,-73.965175446443894,40.775518194155900,15I-AM-1008-01,AM,2018-10-08,Adult,Gray,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,False
110,-73.970010061760206,40.781573995935702,19B-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,,False,False,False,False,False,flying,False,False,False,False,False,False,False,False
111,-73.971905618213995,40.776238547063002,13D-PM-1018-10,PM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
112,-73.953004092355499,40.792289617693598,36I-PM-1007-10,PM,2018-10-07,Juvenile,Gray,Ground Plane,,False,False,False,False,False,stole (found?) an entire sandwich,False,False,False,False,False,False,False,False
113,-73.957209376052901,40.798848730021597,41B-AM-1010-06,AM,2018-10-10,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
114,-73.960774633797897,40.793958106938199,35B-AM-1010-01,AM,2018-10-10,Adult,Gray,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,False,False
115,-73.956634604645302,40.797392339651203,40D-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
116,-73.959203888767306,40.796382675377998,38B-PM-1018-02,PM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,False,burying nut,False,False,False,False,False,False,False,False
117,-73.951111871110797,40.795081334590201,40I-AM-1018-01,AM,2018-10-18,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,begging,False,False,False,False,False,False,False,False
118,-73.976993979638195,40.772953757303497,7B-AM-1008-10,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
119,-73.971252780951602,40.776331039259098,13D-AM-1014-08,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
120,-73.967114709008698,40.777262464111203,16G-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,False,was hanging out w/ #2 until i showed up,False,False,False,False,False,False,False,False
121,-73.958866025023198,40.798259794751502,40A-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,bottom of great hill,False,False,False,False,False,,False,False,False,False,False,False,False,False
122,-73.965160154179500,40.776184178802502,15I-PM-1012-07,PM,2018-10-12,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
123,-73.979215547368895,40.769371179994600,3B-PM-1007-11,PM,2018-10-07,Adult,Gray,Above Ground,in tree,False,False,False,False,False,,False,False,False,False,False,False,False,False
124,-73.966410050443599,40.782877889227599,21D-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
126,-73.970509295889201,40.776109297296500,13E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
127,-73.958165594943694,40.799770819002198,41A-PM-1007-06,PM,2018-10-07,Adult,Black,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
128,-73.975556078622702,40.766299231757500,2F-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
129,-73.969643353398595,40.782820808380400,20B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,quietly,False,False,False,False,False,False,False,False
130,-73.966471160702199,40.787896428768001,26A-PM-1006-06,PM,2018-10-06,Adult,Gray,Ground Plane,Tree 90th left 90th & 89,False,False,False,False,False,,False,False,False,False,False,False,False,False
131,-73.957594381556405,40.793375526678702,35E-PM-1006-07,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
